Datetime,CO_mgm3,C6H6_ugm3,NOx_ppb,NO2_ugm3,Temp_C,RH_pct,AbsHum
2004-03-01,2.2498039215686276,9.932745098039215,140.05490196078432,101.05196078431372,14.39078431372549,50.170784313725484,0.7894127450980393
2004-04-01,2.281180811808118,10.346610169491525,139.09132841328415,95.28321033210332,16.762146892655366,50.7295197740113,0.9191108757062147
2004-05-01,1.8984138972809668,10.580188679245284,120.79954614220877,92.38729198184569,20.35835579514825,43.2254716981132,0.9527235849056603
2004-06-01,1.8732436472346787,10.514553314121038,118.22286541244573,92.00940665701881,26.49423631123919,39.829971181556196,1.2748534582132565
2004-07-01,1.7802364864864866,10.596706989247311,123.19690860215054,102.14650537634408,29.414986559139784,33.06922043010753,1.2430448924731181
2004-08-01,1.2953860640301318,6.937271448663854,76.83188153310104,70.39597902097903,29.022503516174403,43.11350210970464,1.6153933895921238
2004-09-01,2.1914790996784563,11.87138888888889,273.3374524714829,105.57699619771863,24.645000000000003,43.65902777777778,1.2776309722222223
2004-10-01,2.710204081632653,13.530779569892472,335.17573696145126,90.18253968253968,20.50315860215054,61.89610215053763,1.46421001344086
2004-11-01,2.72054698457223,12.511805555555556,414.2331902718169,120.29470672389127,13.485416666666667,59.274861111111115,0.9399911111111111
2004-12-01,2.708566854108091,9.78201174743025,404.34699312714775,122.4803811308966,11.199853157121881,57.8618208516887,0.7838186490455212
2005-01-01,2.0109382712567165,8.943963068181818,341.91328566677754,132.94683931936592,8.162997159090908,56.60909090909092,0.6334468039772727
2005-02-01,2.0805059523809524,7.5620065789473685,308.8482142857143,158.4546130952381,7.191282894736842,51.75526315789474,0.5158870065789474
2005-03-01,2.0016129032258063,8.737231182795698,307.1915322580645,136.51680107526883,13.220094086021506,50.88588709677419,0.7814238575268818
2005-04-01,1.189080459770115,4.285057471264368,175.57471264367817,108.93103448275862,16.660919540229884,35.48275862068966,0.6215919540229885
